Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
40	:	1743673694.969	     2.253	0	4589811	0	0	./albatross/albatross data/22710-5-100-0.7-17-False.cnf
308	:	1743673695.996	     1.237	0	10840	10	0	./cadical/cadical data/42462-5-100-0.8-15-True.cnf
370	:	1743673697.239	     0.021	0	7438	10	0	./cadical/cadical data/50408-5-100-0.6-17-True.cnf
18	:	1743673694.909	     2.394	0	5085927	0	0	./albatross/albatross data/53188-5-100-0.6-15-False.cnf
222	:	1743673695.592	     1.726	0	3077267	0	0	./albatross/albatross data/71681-5-100-0.5-14-False.cnf
92	:	1743673695.121	     2.230	0	4574690	0	0	./albatross/albatross data/18735-5-100-0.6-14-False.cnf
143	:	1743673695.275	     2.077	0	4804948	0	0	./albatross/albatross data/43018-5-100-0.6-15-False.cnf
369	:	1743673697.234	     0.166	0	9089	10	0	./cadical/cadical data/50408-5-100-0.6-16-True.cnf
373	:	1743673697.323	     0.085	0	8515	10	0	./cadical/cadical data/50408-5-100-0.5-15-True.cnf
298	:	1743673695.949	     1.467	0	12690	10	0	./cadical/cadical data/22710-5-100-0.5-15-True.cnf
375	:	1743673697.375	     0.042	0	8071	10	0	./cadical/cadical data/50408-5-100-0.5-17-True.cnf
60	:	1743673695.028	     2.427	0	5296316	0	0	./albatross/albatross data/42462-5-100-0.8-17-False.cnf
272	:	1743673695.822	     1.644	0	12678	10	0	./cadical/cadical data/53188-5-100-0.5-14-True.cnf
368	:	1743673697.218	     0.255	0	9374	10	0	./cadical/cadical data/50408-5-100-0.6-15-True.cnf
374	:	1743673697.366	     0.157	0	9767	10	0	./cadical/cadical data/50408-5-100-0.5-16-True.cnf
263	:	1743673695.781	     1.772	0	11742	10	0	./cadical/cadical data/53188-5-100-0.7-15-True.cnf
246	:	1743673695.703	     1.868	0	3410570	0	0	./albatross/albatross data/81023-5-100-0.5-13-False.cnf
372	:	1743673697.309	     0.279	0	10297	10	0	./cadical/cadical data/50408-5-100-0.5-14-True.cnf
120	:	1743673695.205	     2.414	0	5600611	0	0	./albatross/albatross data/50408-5-100-0.6-17-False.cnf
169	:	1743673695.364	     2.271	0	3808789	0	0	./albatross/albatross data/65828-5-100-0.6-16-False.cnf
343	:	1743673696.280	     1.365	0	11466	10	0	./cadical/cadical data/18735-5-100-0.6-15-True.cnf
389	:	1743673697.661	     0.016	0	7215	10	0	./cadical/cadical data/43018-5-100-0.7-16-True.cnf
390	:	1743673697.684	     0.032	0	7311	10	0	./cadical/cadical data/43018-5-100-0.7-17-True.cnf
385	:	1743673697.578	     0.233	0	8901	10	0	./cadical/cadical data/43018-5-100-0.8-17-True.cnf
364	:	1743673697.095	     0.751	0	10150	10	0	./cadical/cadical data/50408-5-100-0.7-16-True.cnf
244	:	1743673695.694	     2.167	0	4323225	0	0	./albatross/albatross data/81023-5-100-0.6-16-False.cnf
388	:	1743673697.643	     0.229	0	9162	10	0	./cadical/cadical data/43018-5-100-0.7-15-True.cnf
238	:	1743673695.665	     2.213	0	3336106	0	0	./albatross/albatross data/81023-5-100-0.7-15-False.cnf
394	:	1743673697.869	     0.046	0	7569	10	0	./cadical/cadical data/43018-5-100-0.6-16-True.cnf
395	:	1743673697.879	     0.140	0	9064	10	0	./cadical/cadical data/43018-5-100-0.6-17-True.cnf
387	:	1743673697.636	     0.390	0	9640	10	0	./cadical/cadical data/43018-5-100-0.7-14-True.cnf
342	:	1743673696.269	     1.971	0	12541	10	0	./cadical/cadical data/18735-5-100-0.6-14-True.cnf
400	:	1743673698.249	     0.111	0	8804	10	0	./cadical/cadical data/43018-5-100-0.5-17-True.cnf
119	:	1743673695.202	     3.224	0	5648624	0	0	./albatross/albatross data/50408-5-100-0.6-16-False.cnf
399	:	1743673698.032	     0.467	0	10205	10	0	./cadical/cadical data/43018-5-100-0.5-16-True.cnf
393	:	1743673697.854	     0.710	0	10335	10	0	./cadical/cadical data/43018-5-100-0.6-15-True.cnf
67	:	1743673695.046	     3.529	0	6942308	0	0	./albatross/albatross data/42462-5-100-0.6-14-False.cnf
405	:	1743673698.592	     0.157	0	8549	10	0	./cadical/cadical data/65828-5-100-0.9-17-True.cnf
144	:	1743673695.278	     3.511	0	7094038	0	0	./albatross/albatross data/43018-5-100-0.6-16-False.cnf
371	:	1743673697.267	     1.592	0	12877	10	0	./cadical/cadical data/50408-5-100-0.5-13-True.cnf
192	:	1743673695.456	     3.468	0	5851507	0	0	./albatross/albatross data/78144-5-100-0.6-14-False.cnf
217	:	1743673695.572	     3.418	0	6054368	0	0	./albatross/albatross data/71681-5-100-0.6-14-False.cnf
410	:	1743673698.997	     0.018	0	6986	10	0	./cadical/cadical data/65828-5-100-0.8-17-True.cnf
404	:	1743673698.576	     0.591	0	9741	10	0	./cadical/cadical data/65828-5-100-0.9-16-True.cnf
409	:	1743673698.931	     0.256	0	9017	10	0	./cadical/cadical data/65828-5-100-0.8-16-True.cnf
384	:	1743673697.560	     1.644	0	11116	10	0	./cadical/cadical data/43018-5-100-0.8-16-True.cnf
414	:	1743673699.210	     0.029	0	7176	10	0	./cadical/cadical data/65828-5-100-0.7-16-True.cnf
398	:	1743673698.025	     1.259	0	11535	10	0	./cadical/cadical data/43018-5-100-0.5-15-True.cnf
415	:	1743673699.247	     0.039	0	7214	10	0	./cadical/cadical data/65828-5-100-0.7-17-True.cnf
193	:	1743673695.461	     4.006	0	6971265	0	0	./albatross/albatross data/78144-5-100-0.6-15-False.cnf
396	:	1743673697.887	     1.603	0	8488	20	0	./cadical/cadical data/43018-5-100-0.5-13-True.cnf
336	:	1743673696.183	     3.574	0	10674	20	0	./cadical/cadical data/18735-5-100-0.7-13-True.cnf
413	:	1743673699.193	     0.585	0	9886	10	0	./cadical/cadical data/65828-5-100-0.7-15-True.cnf
420	:	1743673699.766	     0.121	0	8633	10	0	./cadical/cadical data/65828-5-100-0.6-17-True.cnf
174	:	1743673695.388	     4.555	0	9035548	0	0	./albatross/albatross data/65828-5-100-0.5-16-False.cnf
149	:	1743673695.294	     4.907	0	8442517	0	0	./albatross/albatross data/43018-5-100-0.5-16-False.cnf
419	:	1743673699.498	     0.798	0	10361	10	0	./cadical/cadical data/65828-5-100-0.6-16-True.cnf
425	:	1743673700.304	     0.163	0	10061	10	0	./cadical/cadical data/65828-5-100-0.5-17-True.cnf
